Source_Titles,records,percent_of_total
MOLECULAR MECHANISMS OF DEMENTIA BIOMARKERS NEUROCHEMISTRY AND THERAPY,1,0.003
MOLECULAR NEURODEGENERATION,1,0.003
MOLECULAR NUTRITION OF FATS,1,0.003
MOLECULAR PAIN,1,0.003
MOLECULAR THERAPY NUCLEIC ACIDS,1,0.003
MOLECULES AND CELLS,1,0.003
MONIST,1,0.003
MOTIVATION AND EMOTION,1,0.003
MOVEMENTS FOR HUMAN RIGHTS LOCALLY AND GLOBALLY,1,0.003
MULTILEVEL DYNAMICS IN DEVELOPMENTAL PSYCHOPATHOLOGY PATHWAYS TO THE FUTURE,1,0.003
MULTIPLE SCLEROSIS AND RELATED DISORDERS,1,0.003
MUSCLE NERVE,1,0.003
MUSICAE SCIENTIAE,1,0.003
MUTAGENESIS,1,0.003
MUTATION RESEARCH GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,1,0.003
MUTATION RESEARCH GENOMICS,1,0.003
NAGOYA JOURNAL OF MEDICAL SCIENCE,1,0.003
NATIONWIDE FRAMEWORK FOR SURVEILLANCE OF CARDIOVASCULAR AND CHRONIC LUNG DISEASES,1,0.003
NATURAL PRODUCT COMMUNICATIONS,1,0.003
NATURE CLINICAL PRACTICE ENDOCRINOLOGY METABOLISM,1,0.003
NATURE HUMAN BEHAVIOUR,1,0.003
NATURE METHODS,1,0.003
NATURE REVIEWS CANCER,1,0.003
NATURE SUSTAINABILITY,1,0.003
NAUNYN SCHMIEDEBERGS ARCHIVES OF PHARMACOLOGY,1,0.003
NEBRASKA SYMPOSIUM ON MOTIVATION,1,0.003
NEGATIVE AFFECTIVE STATES AND COGNITIVE IMPAIRMENTS IN NICOTINE DEPENDENCE,1,0.003
NEIGHBORHOOD AND LIFE CHANCES HOW PLACE MATTERS IN MODERN AMERICA,1,0.003
NEONATOLOGY,1,0.003
NEPALESE HEART JOURNAL,1,0.003
NEPHROLOGY NURSING JOURNAL,1,0.003
NERVENHEILKUNDE,1,0.003
NESTLE NUTRITION INSTITUTE WORKSHOP SERIES,1,0.003
NESTLE NUTRITION WORKSHOP SERIES CLINICAL PERFORMANCE PROGRAM,1,0.003
NEUROBIOLOGY OF BRAIN DISORDERS BIOLOGICAL BASIS OF NEUROLOGICAL AND PSYCHIATRIC DISORDERS,1,0.003
NEUROBIOLOGY OF CIRCADIAN TIMING,1,0.003
NEUROBIOLOGY OF DISEASE,1,0.003
NEUROBIOLOGY OF PSYCHIATRIC DISORDERS,1,0.003
NEUROCHEMICAL JOURNAL,1,0.003
NEUROCHEMICAL RESEARCH,1,0.003
NEUROCOMPUTING,1,0.003
NEUROCRITICAL CARE,1,0.003
NEUROGASTROENTEROLOGY AND MOTILITY,1,0.003
NEUROIMMUNOMODULATION,1,0.003
NEUROIMMUNOMODULATION FROM FUNDAMENTAL BIOLOGY TO THERAPY,1,0.003
NEUROLOGIA,1,0.003
NEUROLOGIA I NEUROCHIRURGIA POLSKA,1,0.003
NEUROLOGICAL DISORDERS AND PREGNANCY,1,0.003
NEUROLOGICAL RESEARCH,1,0.003
NEUROLOGY RESEARCH INTERNATIONAL,1,0.003
NEUROMODULATION,1,0.003
NEUROPSYCHOBIOLOGY,1,0.003
NEUROPSYCHOLOGY REVIEW,1,0.003
NEURORADIOLOGY,1,0.003
NEUROREHABILITATION,1,0.003
NEUROREHABILITATION AND NEURAL REPAIR,1,0.003
NEUROSCIENCE NEUROPHILOSOPHY AND PRAGMATISM BRAINS AT WORK WITH THE WORLD,1,0.003
NEUROSCIENCES,1,0.003
NEUROSONOLOGY AND CEREBRAL HEMODYNAMICS,1,0.003
NEUROSURGERY CLINICS OF NORTH AMERICA,1,0.003
NEW DIRECTIONS FOR CHILD AND ADOLESCENT DEVELOPMENT,1,0.003
NEW DIRECTIONS IN PHILOSOPHY AND COGNITIVE SCIENCE,1,0.003
NEW FRONTIERS IN HEART DISEASE,1,0.003
NEW FRONTIERS IN WORK AND FAMILY RESEARCH,1,0.003
NEW GENETICS AND SOCIETY,1,0.003
NEW IDEAS IN PSYCHOLOGY,1,0.003
NEW MEDIA SOCIETY,1,0.003
NITRIC OXIDE,1,0.003
NOCTURIA CAUSES CONSEQUENCES AND CLINICAL APPROACHES,1,0.003
NONVERBAL COMMUNICATION,1,0.003
NONVITAMIN AND NONMINERAL NUTRITIONAL SUPPLEMENTS,1,0.003
NORDISK SYGEPLEJEFORSKNING NORDIC NURSING RESEARCH,1,0.003
NORTH AMERICAN ACTUARIAL JOURNAL,1,0.003
NPJ PRECISION ONCOLOGY,1,0.003
NPJ SCHIZOPHRENIA,1,0.003
NUCLEAR MEDICINE AND MOLECULAR IMAGING,1,0.003
NUCLEAR MEDICINE COMMUNICATIONS,1,0.003
NUCLEAR RECEPTORS CURRENT CONCEPTS AND FUTURE CHALLENGES,1,0.003
NUCLEIC ACIDS RESEARCH,1,0.003
NUCLEOSIDES NUCLEOTIDES NUCLEIC ACIDS,1,0.003
NURSE EDUCATOR,1,0.003
NURSE PRACTITIONER,1,0.003
NURSING AND MIDWIFERY STUDIES,1,0.003
NURSING OUTLOOK,1,0.003
NURSING RESEARCH AND PRACTICE,1,0.003
NURSING RESEARCH AND REVIEWS,1,0.003
NURSING SCIENCE QUARTERLY,1,0.003
NUSSE IN DER ERNAHRUNG,1,0.003
NUTRACEUTICALS AND NATURAL PRODUCT DERIVATIVES DISEASE PREVENTION DRUG DISCOVERY,1,0.003
NUTRIENTS DIETARY SUPPLEMENTS AND NUTRICEUTICALS COST ANALYSIS VERSUS CLINICAL BENEFITS,1,0.003
NUTRITION AND ENHANCED SPORTS PERFORMANCE MUSCLE BUILDING ENDURANCE AND STRENGTH,1,0.003
NUTRITION AND FITNESS MENTAL HEALTH AGING AND THE IMPLEMENTATION OF A HEALTHY DIET AND PHYSICAL ACTIVITY LIFESTYLE,1,0.003
NUTRITION AND GROWTH YEARBOOK 2016,1,0.003
NUTRITION AND PHYSICAL ACTIVITY IN INFLAMMATORY DISEASES,1,0.003
NUTRITIONAL AND THERAPEUTIC INTERVENTIONS FOR DIABETES AND METABOLIC SYNDROME 2ND EDITION,1,0.003
NUTRITIONAL BIOCHEMISTRY OF CHROMIUM III,1,0.003
NUTRITIONAL INFLUENCES ON BONE HEALTH,1,0.003
NUTRITIONAL MANAGEMENT OF DIABETES MELLITUS AND DYSMETABOLIC SYNDROME,1,0.003
NUTRITIONAL NEUROSCIENCE,1,0.003
NUTS IN THE DIET,1,0.003
OBESITY AND METABOLISM,1,0.003
OBESITY AND METABOLISM MILAN,1,0.003
OBESITY AND THE KIDNEY,1,0.003
OBESITY BUSINESS AND PUBLIC POLICY,1,0.003
OBJECTIVE MONITORING OF PHYSICAL ACTIVITY CONTRIBUTIONS OF ACCELEROMETRY TO EPIDEMIOLOGY EXERCISE SCIENCE AND REHABILITATION,1,0.003
OBSTETRICIAN GYNAECOLOGIST,1,0.003
OBSTETRICS AND GYNECOLOGY INTERNATIONAL,1,0.003
OBSTRUCTIVE SLEEP APNEA IN ADULTS RELATIONSHIP WITH CARDIOVASCULAR AND METABOLIC DISORDERS,1,0.003
OCCUPATIONAL HEALTH,1,0.003
OCCUPATIONAL MEDICINE STATE OF THE ART REVIEWS,1,0.003
OCL OLEAGINEUX CORPS GRAS LIPIDES,1,0.003
OIL CROPS,1,0.003
OMEGA 3 FATTY ACIDS IN BRAIN AND NEUROLOGICAL HEALTH,1,0.003
OMEGA JOURNAL OF DEATH AND DYING,1,0.003
ONCOGENE,1,0.003
ONCOLOGY,1,0.003
ONLY CONSTANT IN HRM TODAY IS CHANGE,1,0.003
OPEN ACCESS JOURNAL OF CONTRACEPTION,1,0.003
OPEN CARDIOVASCULAR MEDICINE JOURNAL,1,0.003
OPEN VETERINARY JOURNAL,1,0.003
OPHTHALMIC AND PHYSIOLOGICAL OPTICS,1,0.003
ORAL BASED DIAGNOSTICS,1,0.003
ORAL DISEASES,1,0.003
ORAL HEALTH PREVENTIVE DENTISTRY,1,0.003
ORAL SYSTEMIC HEALTH CONNECTION A GUIDE TO PATIENT CARE SECOND EDITION,1,0.003
ORGANIZATION SCIENCE,1,0.003
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,1,0.003
ORIGINS AND CONSEQUENCES OF OBESITY,1,0.003
ORIGINS AND DESTINATIONS THE MAKING OF THE SECOND GENERATION,1,0.003
ORTHOPAEDIC SURGERY,1,0.003
ORTHOPAEDICS TRAUMATOLOGY SURGERY RESEARCH,1,0.003
OSTEOPOROSIS VOLS I AND II 3RD EDITION,1,0.003
OTJR OCCUPATION PARTICIPATION AND HEALTH,1,0.003
OTOLOGY NEUROTOLOGY,1,0.003
OVERWEIGHT AND THE METABOLIC SYNDROME FROM BENCH TO BEDSIDE,1,0.003
OVERWEIGHTNESS AND WALKING,1,0.003
OVIDIUS UNIVERSITY ANNALS OF CHEMISTRY,1,0.003
OXIDATIVE STRESS A FOCUS ON CARDIOVASCULAR DISEASE PATHOGENESIS,1,0.003
OXIDATIVE STRESS AND DISEASE,1,0.003
OXIDATIVE STRESS DISEASE AND CANCER,1,0.003
PACIFIC SYMPOSIUM ON BIOCOMPUTING 2016,1,0.003
PACIFIC SYMPOSIUM ON BIOCOMPUTING 2017,1,0.003
PAEDIATRICA INDONESIANA,1,0.003
PAIN MANAGEMENT NURSING,1,0.003
PAIN PHYSICIAN,1,0.003
PAIN PRACTICE,1,0.003
PAIN RESEARCH MANAGEMENT,1,0.003
PALGRAVE STUDIES IN AGRICULTURAL ECONOMICS AND FOOD POLICY,1,0.003
PANCREAS,1,0.003
PANCREATOLOGY,1,0.003
PARKINSONISM RELATED DISORDERS,1,0.003
PARTICLE AND FIBRE TOXICOLOGY,1,0.003
PATHOGENS,1,0.003
PATHOLOGY,1,0.003
PATHOLOGY ONCOLOGY RESEARCH,1,0.003
PATHOLOGY RESEARCH AND PRACTICE,1,0.003
PATHOPHYSIOLOGY EVALUATION AND MANAGEMENT OF VALVULAR HEART DISEASES VOL 2,1,0.003
PEDIATRIC AND ADOLESCENT MEDICINE,1,0.003
PEDIATRIC DENTISTRY,1,0.003
PEDIATRIC DRUGS,1,0.003
PEDIATRIC FOOD PREFERENCES AND EATING BEHAVIORS,1,0.003
PEDIATRIC GASTROENTEROLOGY HEPATOLOGY NUTRITION,1,0.003
PEDIATRIC HEMATOLOGY AND ONCOLOGY,1,0.003
PEDIATRIC INFECTIOUS DISEASE JOURNAL,1,0.003
PEDIATRICS IN REVIEW,1,0.003
PELVIC FLOOR DISORDERS IMAGING AND MULTIDISCIPLINARY APPROACH TO MANAGEMENT,1,0.003
PEPTIDES,1,0.003
PERFUSION,1,0.003
PERSONALITY AND SOCIAL BEHAVIOR,1,0.003
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1,0.003
PERSPECTIVES IN PSYCHIATRIC CARE,1,0.003
PET CT APPLICATIONS IN NON NEOPLASTIC CONDITIONS,1,0.003
PHARMA NUTRITION AN OVERVIEW,1,0.003
PHARMACEUTICAL BIOLOGY,1,0.003
PHARMACEUTICS,1,0.003
PHARMACOECONOMICS,1,0.003
PHARMACOGENOMICS JOURNAL,1,0.003
PHARMACOLOGY OF G PROTEIN COUPLED RECEPTORS,1,0.003
PHARMACOPSYCHIATRY,1,0.003
PHARMAZIE,1,0.003
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES,1,0.003
PHILOSOPHY AND MEDICINE,1,0.003
PHILOSOPHY OF PUBLIC HEALTH,1,0.003
PHOSPHATE AND VITAMIN D IN CHRONIC KIDNEY DISEASE,1,0.003
PHOSPHOLIPASES IN HEALTH AND DISEASE,1,0.003
PHYSICAL EDUCATOR US,1,0.003
PHYSICAL MEDICINE AND REHABILITATION CLINICS OF NORTH AMERICA,1,0.003
PHYSIKALISCHE MEDIZIN REHABILITATIONSMEDIZIN KURORTMEDIZIN,1,0.003
PHYSIOLOGIA PLANTARUM,1,0.003
PHYSIOLOGY IN HEALTH AND DISEASE,1,0.003
PHYSIOLOGY INTERNATIONAL,1,0.003
PHYTOCHEMICALS MECHANISMS OF ACTION,1,0.003
PHYTOMEDICINE,1,0.003
PITUITARY 3RD EDITION,1,0.003
PLACENTA,1,0.003
PLANT AND SOIL,1,0.003
PLANT BIOTECHNOLOGY JOURNAL,1,0.003
PLANT CELL AND ENVIRONMENT,1,0.003
PLANT FOODS FOR HUMAN NUTRITION,1,0.003
PLANTS BASEL,1,0.003
PLASTIC AND RECONSTRUCTIVE SURGERY GLOBAL OPEN,1,0.003
PLATELETS HAEMOSTASIS AND INFLAMMATION,1,0.003
PM R,1,0.003
PNEUMOLOGE,1,0.003
POLISH JOURNAL OF ENVIRONMENTAL STUDIES,1,0.003
POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES,1,0.003
POLITICAL COMMUNICATION,1,0.003
POLITICAL PSYCHOLOGY,1,0.003
POLITICS GROUPS AND IDENTITIES,1,0.003
POLYCYSTIC OVARY SYNDROME NOVEL INSIGHT INTO CAUSES AND THERAPY,1,0.003
POPULATION HEALTH MANAGEMENT,1,0.003
POPULATION MENTAL HEALTH EVIDENCE POLICY AND PUBLIC HEALTH PRACTICE,1,0.003
POPULATION STUDIES A JOURNAL OF DEMOGRAPHY,1,0.003
POSSESSING SPIRITS AND HEALING SELVES EMBODIMENT AND TRANSFORMATION IN AN AFRO BRAZILIAN RELIGION,1,0.003
POSSESSIVE INVESTMENT IN WHITENESS HOW WHITE PEOPLE PROFIT FROM IDENTITY POLITICS 20TH EDITION,1,0.003
POSTEPY DERMATOLOGII I ALERGOLOGII,1,0.003
POSTTRAUMATIC STRESS DISORDER FROM NEUROBIOLOGY TO TREATMENT,1,0.003
PRACTICAL GASTROENTEROLOGY,1,0.003
PRACTISING SOCIAL INCLUSION,1,0.003
PRAVENTION UND GESUNDHEITSFORDERUNG,1,0.003
PREHOSPITAL EMERGENCY CARE,1,0.003
PRENATAL AND NEONATAL MEDICINE,1,0.003
PREPARATIVE BIOCHEMISTRY BIOTECHNOLOGY,1,0.003
PRETERM BIRTH MOTHER AND CHILD,1,0.003
PREVENTION AND TREATMENT OF CHILDHOOD OBESITY,1,0.003
PREVENTION OF CARDIOVASCULAR DISEASE THROUGH THE MEDITERRANEAN DIET,1,0.003
PREVENTIVE CARDIOLOGY SECOND EDITION,1,0.003
PRIMARY CARE RESPIRATORY JOURNAL,1,0.003
PRIMARY CARE SLEEP MEDICINE,1,0.003
PRIMARY HEALTH CARE RESEARCH AND DEVELOPMENT,1,0.003
PRINCIPLES AND PRACTICE OF ANTIAGING MEDICINE FOR THE CLINICAL PHYSICIAN,1,0.003
PRINCIPLES OF GENDER SPECIFIC MEDICINE 2ND EDITION,1,0.003
PRINCIPLES OF HEART VALVE ENGINEERING,1,0.003
PRION,1,0.003
PRISON JOURNAL,1,0.003
PROCEEDINGS BOOK OF THE 15TH ITTF SPORTS SCIENCE CONGRESS,1,0.003
PROCEEDINGS OF THE 2010 INTERNATIONAL SYMPOSIUM ON CHILDREN AND YOUTH FITNESS AND HEALTH VOL 2,1,0.003
PROCEEDINGS OF THE 26TH INTERNATIONAL CONFERENCE ON WORLD WIDE WEB WWW 17,1,0.003
PROCEEDINGS OF THE 2ND INTERNATIONAL CONFERENCE ON EDUCATION INNOVATION ICEI 2018,1,0.003
PROCEEDINGS OF THE 4TH INTERNATIONAL CONGRESS ON FLOUR BREAD 07,1,0.003
PROCEEDINGS OF THE 5TH INTERNATIONAL CONGRESS FLOUR BREAD 09 AND 7TH CROATION CONGRESS OF CEREAL TECHNOLOGISTS,1,0.003
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS ENGINEERING SUSTAINABILITY,1,0.003
PROCEEDINGS OF THE JAPAN ACADEMY SERIES B PHYSICAL AND BIOLOGICAL SCIENCES,1,0.003
PROGRES EN UROLOGIE,1,0.003
PROGRESS IN BIOPHYSICS MOLECULAR BIOLOGY,1,0.003
PROGRESS IN EXPERIMENTAL CARDIOLOGY,1,0.003
PROGRESS IN NEUROBIOLOGY,1,0.003
PROGRESS IN PATHOLOGY,1,0.003
PROGRESS IN PATHOLOGY VOL 7,1,0.003
PROGRESS IN RESPIRATORY RESEARCH,1,0.003
PROGRESS IN RETINAL AND EYE RESEARCH,1,0.003
PROTEIN JOURNAL,1,0.003
PROTEIN SCIENCE,1,0.003
PROTEINS AND CELL REGULATION,1,0.003
PROTEOMICS,1,0.003
PROTOCOLS FOR HIGH RISK PREGNANCIES AN EVIDENCE BASED APPROACH 6TH EDITION,1,0.003
PRZEGLAD GASTROENTEROLOGICZNY,1,0.003
PSICODEBATE PSICOLOGIA CULTURA Y SOCIEDAD,1,0.003
PSICOLOGIA REFLEXAO E CRITICA,1,0.003
PSN PSYCHIATRIE SCIENCES HUMAINES NEUROSCIENCES,1,0.003
PSYCHIATRIA POLSKA,1,0.003
PSYCHIATRIC ANNALS,1,0.003
PSYCHIATRIC CONTROVERSIES IN EPILEPSY,1,0.003
PSYCHIATRIC DISORDER METHODS AND PROTOCOLS,1,0.003
PSYCHIATRIC QUARTERLY,1,0.003
PSYCHIATRISCHE PRAXIS,1,0.003
PSYCHIATRY AND CLINICAL NEUROSCIENCES,1,0.003
PSYCHIATRY INTERPERSONAL AND BIOLOGICAL PROCESSES,1,0.003
PSYCHIATRY RESEARCH NEUROIMAGING,1,0.003
PSYCHODYNAMIC PERSPECTIVES ON AGING AND ILLNESS,1,0.003
PSYCHOLOGICAL INQUIRY,1,0.003
PSYCHOLOGICAL SERVICES,1,0.003
PSYCHOLOGICAL WELL BEING,1,0.003
PSYCHOLOGY AND PSYCHOTHERAPY THEORY RESEARCH AND PRACTICE,1,0.003
PSYCHOLOGY IN THE SCHOOLS,1,0.003
PSYCHOLOGY MARKETING,1,0.003
PSYCHOLOGY OF MUSIC,1,0.003
PSYCHOLOGY SOCIETY EDUCATION,1,0.003
PSYCHONEUROIMMUNOLOGY VOLS I AND II 4TH EDITION,1,0.003
PSYCHOPATHOLOGY,1,0.003
PSYCHOPHARMACOLOGY BULLETIN,1,0.003
PSYCHOTHERAPEUT,1,0.003
PSYCHOTHERAPY,1,0.003
PTERIDINES,1,0.003
PUBLIC HEALTH ETHICS,1,0.003
PUBLIC HEALTH IN THE 21ST CENTURY,1,0.003
PUBLIC OPINION QUARTERLY,1,0.003
PUERTO RICO HEALTH SCIENCES JOURNAL,1,0.003
PULMONARY MEDICINE,1,0.003
PULMONARY PHARMACOLOGY THERAPEUTICS,1,0.003
PULMONOLOGY,1,0.003
PULSE,1,0.003
PURE AND APPLIED CHEMISTRY,1,0.003
QUALITY ACCESS TO SUCCESS,1,0.003
QUALITY ASSURANCE AND SAFETY OF CROPS FOODS,1,0.003
QUALITY IN HEALTH CARE,1,0.003
QUALITY MANAGEMENT IN HEALTH CARE,1,0.003
QUALITY OF LIFE AND DAILY TRAVEL,1,0.003
QUARTERLY JOURNAL OF ECONOMICS,1,0.003
QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,1,0.003
QUARTERLY JOURNAL OF MEDICINE,1,0.003
QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,1,0.003
QUEST,1,0.003
QUT LAW REVIEW,1,0.003
RACE AND SOCIAL PROBLEMS RESTRUCTURING INEQUALITY,1,0.003
RACE ETHNICITY AND EDUCATION,1,0.003
RACIAL IDENTITIES GENETIC ANCESTRY AND HEALTH IN SOUTH AMERICA ARGENTINA BRAZIL COLOMBIA AND URUGUAY,1,0.003
RADIOGRAPHICS,1,0.003
RADIOLOGE,1,0.003
RADIOLOGIC CLINICS OF NORTH AMERICA,1,0.003
RAMBAM MAIMONIDES MEDICAL JOURNAL,1,0.003
RAPID COMMUNICATIONS IN MASS SPECTROMETRY,1,0.003
RATIONAL PHARMACOTHERAPY IN CARDIOLOGY,1,0.003
RBNE REVISTA BRASILEIRA DE NUTRICAO ESPORTIVA,1,0.003
RBONE REVISTA BRASILEIRA DE OBESIDADE NUTRICAO E EMAGRECIMENTO,1,0.003
RE IMAGINING MILK,1,0.003
REANIMATION,1,0.003
RECENT ADVANCES IN POLYPHENOL RESEARCH,1,0.003
RECENT ADVANCES IN POLYPHENOL RESEARCH VOL 5,1,0.003
REDUCING THE IMPACT OF POVERTY ON HEALTH AND HUMAN DEVELOPMENT SCIENTIFIC APPROACHES,1,0.003
REFERENCE SERIES IN PHYTOCHEMISTRY,1,0.003
REFERENCE USER SERVICES QUARTERLY,1,0.003
REGULATORY MECHANISMS IN BIOSYSTEMS,1,0.003
REGULATORY PEPTIDES,1,0.003
RELIGIONS,1,0.003
REPRODUCTION,1,0.003
REPRODUCTION FERTILITY AND DEVELOPMENT,1,0.003
RESEARCH AND PERSPECTIVES IN ENDOCRINE INTERACTIONS,1,0.003
RESEARCH COMMUNICATIONS IN MOLECULAR PATHOLOGY AND PHARMACOLOGY,1,0.003
RESEARCH COMPANION TO ORGANIZATIONAL HEALTH PSYCHOLOGY,1,0.003
RESEARCH IN GERONTOLOGICAL NURSING,1,0.003
RESEARCH IN HUMAN DEVELOPMENT,1,0.003
RESEARCH IN HUMAN RESOURCES MANAGEMENT,1,0.003
RESEARCH IN PERSONNEL AND HUMAN RESOURCES MANAGEMENT,1,0.003
RESEARCH IN SOCIAL ADMINISTRATIVE PHARMACY,1,0.003
RESEARCH IN SOCIAL STRATIFICATION AND MOBILITY,1,0.003
RESEARCH IN SPORTS MEDICINE,1,0.003
RESEARCH IN THE SOCIOLOGY OF WORK,1,0.003
RESPIRATORY INVESTIGATION,1,0.003
RESPIRATORY MEDICINE CASE REPORTS,1,0.003
RESPIRATORY PHYSIOLOGY NEUROBIOLOGY,1,0.003
RETHINKING SOCIAL EPIDEMIOLOGY TOWARDS A SCIENCE OF CHANGE,1,0.003
RETINAL DEGENERATIVE DISEASES,1,0.003
REVERSAL OF AGING RESETTING THE PINEAL CLOCK,1,0.003
REVIEW OF ECONOMICS AND STATISTICS,1,0.003
REVIEW OF RELIGIOUS RESEARCH,1,0.003
REVIEWS IN HEALTH CARE,1,0.003
REVIEWS OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,1,0.003
REVIEWS OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY VOL 238,1,0.003
REVIEWS OF PHYSIOLOGY BIOCHEMISTRY AND PHARMACOLOGY VOL 158,1,0.003
REVIEWS OF PHYSIOLOGY BIOCHEMISTRY AND PHARMACOLOGY VOL 175,1,0.003
REVIEWS ON ENVIRONMENTAL HEALTH,1,0.003
REVIEWS ON RECENT CLINICAL TRIALS,1,0.003
REVISTA BRASILEIRA DE REUMATOLOGIA,1,0.003
REVISTA DA ESCOLA DE ENFERMAGEM DA USP,1,0.003
REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL,1,0.003
REVISTA DE GASTROENTEROLOGIA DE MEXICO,1,0.003
REVISTA DE NEUROLOGIA,1,0.003
REVISTA DE PSIQUIATRIA CLINICA,1,0.003
REVISTA DE SALUD AMBIENTAL,1,0.003
REVISTA DEL CUERPO MEDICO DEL HOSPITAL NACIONAL ALMANZOR AGUINAGA ASENJO,1,0.003
REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,1,0.003
REVISTA ESPANOLA DE MEDICINA NUCLEAR E IMAGEN MOLECULAR,1,0.003
REVISTA ESPANOLA DE NUTRICION HUMANA Y DIETETICA,1,0.003
REVISTA IBEROAMERICANA DE CIENCIAS DE LA ACTIVIDAD FISICA Y EL DEPORTE,1,0.003
REVISTA IBEROAMERICANA DE DIAGNOSTICO Y EVALUACION E AVALIACAO PSICOLOGICA,1,0.003
REVISTA INTERNACIONAL DE ANDROLOGIA,1,0.003
REVISTA INTERNACIONAL DE MEDICINA Y CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,1,0.003
REVISTA LATINO AMERICANA DE ENFERMAGEM,1,0.003
REVISTA PERUANA DE GINECOLOGIA Y OBSTETRICIA,1,0.003
REVISTA VENEZOLANA DE CIENCIA Y TECNOLOGIA DE ALIMENTOS,1,0.003
REVUE DE PNEUMOLOGIE CLINIQUE,1,0.003
REVUE NEUROLOGIQUE,1,0.003
RISKY BUSINESS PSYCHOLOGICAL PHYSICAL AND FINANCIAL COSTS OF HIGH RISK BEHAVIOR IN ORGANIZATIONS,1,0.003
RMD OPEN,1,0.003
ROFO FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN VERFAHREN,1,0.003
ROUTLEDGE ADVANCES IN SOCIOLOGY,1,0.003
ROUTLEDGE COMPANION TO WELLBEING AT WORK,1,0.003
ROUTLEDGE COMPANIONS IN BUSINESS MANAGEMENT AND ACCOUNTING,1,0.003
ROUTLEDGE HANDBOOK OF SCIENCE TECHNOLOGY AND SOCIETY,1,0.003
ROUTLEDGE INTERNATIONAL HANDBOOKS,1,0.003
ROUTLEDGE RESEARCH IN EDUCATION,1,0.003
ROUTLEDGE RESEARCH IN SPORT CULTURE AND SOCIETY,1,0.003
ROUTLEDGE SERIES FOR CREATIVE TEACHING AND LEARNING IN ANTHROPOLOGY,1,0.003
ROUTLEDGE STUDIES IN CULTURAL HISTORY,1,0.003
ROUTLEDGE STUDIES IN FOOD SOCIETY AND ENVIRONMENT,1,0.003
ROUTLEDGE STUDIES IN PUBLIC HEALTH,1,0.003
ROYAL SOCIETY OF MEDICINE INTERNATIONAL CONGRESS AND SYMPOSIUM SERIES,1,0.003
ROYAL SOCIETY OPEN SCIENCE,1,0.003
RUSSIAN JOURNAL OF CARDIOLOGY,1,0.003
RUTGERS SERIES ON SELF AND SOCIAL IDENTITY,1,0.003
SAFETY AND HEALTH AT WORK,1,0.003
SALMAND IRANIAN JOURNAL OF AGEING,1,0.003
SALUD COLECTIVA,1,0.003
SALUD I CIENCIA,1,0.003
SAUDE E SOCIEDADE,1,0.003
SAUDI JOURNAL OF GASTROENTEROLOGY,1,0.003
SCANDINAVIAN JOURNAL OF EDUCATIONAL RESEARCH,1,0.003
SCANDINAVIAN JOURNAL OF INFECTIOUS DISEASES,1,0.003
SCANDINAVIAN JOURNAL OF PSYCHOLOGY,1,0.003
SCANDINAVIAN JOURNAL OF RHEUMATOLOGY,1,0.003
SCANDINAVIAN JOURNAL OF SOCIAL MEDICINE,1,0.003
SCANNING,1,0.003
SCHIZOPHRENIA BULLETIN,1,0.003
SCIENCE SIGNALING,1,0.003
SCIENCES SOCIALES ET SANTE,1,0.003
SCIENTIA AGRICOLA,1,0.003
SCIENTIA HORTICULTURAE,1,0.003
SCIENTIFIC STUDY AND RESEARCH CHEMISTRY AND CHEMICAL ENGINEERING BIOTECHNOLOGY FOOD INDUSTRY,1,0.003
SCIENTIFICA,1,0.003
SELENIUM ITS MOLECULAR BIOLOGY AND ROLE IN HUMAN HEALTH THIRD EDITION,1,0.003
SELF AND IDENTITY,1,0.003
SELF SOCIAL IDENTITY AND PHYSICAL HEALTH,1,0.003
SEMINARS IN HEMATOLOGY,1,0.003
SEMINARS IN IMMUNOPATHOLOGY,1,0.003
SEMINARS IN INTERVENTIONAL RADIOLOGY,1,0.003
SEMINARS IN NEUROLOGY,1,0.003
SEMINARS IN ROENTGENOLOGY,1,0.003
SENSORS,1,0.003
SERIES IN APPLIED PSYCHOLOGY,1,0.003
SERIES IN DEATH DYING AND BEREAVEMENT,1,0.003
SERIES IN MATERNAL FETAL MEDICINE,1,0.003
SEX STEROIDS EFFECTS ON BRAIN HEART AND VESSELS VOL 6 FRONTIERS IN GYNECOLOGICAL ENDOCRINOLOGY,1,0.003
SEXUAL HEALTH,1,0.003
SEXUAL MEDICINE,1,0.003
SEXUALITY AND DISABILITY,1,0.003
SIGNS,1,0.003
