Organizations_Enhanced,records,percent_of_total
POSTGRAD INST MED SCI,1,0.003
POZNAN CITY HOSP,1,0.003
POZNAN UNIV PHYS EDUC,1,0.003
PRACT PARENTING CONSULTING,1,0.003
PRAGUE PSYCHIAT CTR,1,0.003
PRAIRIE CARDIOVASC CONSULTANTS LTD,1,0.003
PRAXIS INNERE MED,1,0.003
PRAXIS INNERE MED GASTROENTEROL KARDIOL PRAVENT,1,0.003
PRES UNIV LYON,1,0.003
PRESENCE ST JOSEPH HOSP,1,0.003
PRESIDIO OSPED A BUSINCO,1,0.003
PRESIDIO OSPED ASL 5,1,0.003
PRESIDIO OSPEDALIERO SAN GIOVANNI DI DIO,1,0.003
PREVENT CARDIOL CARDIAC REHABIL BEAUMONT HLTH,1,0.003
PREVENT CARDIOL PROGRAM,1,0.003
PREVENT CLIN INVEST CTR,1,0.003
PREVENT INST,1,0.003
PREVENT RES CTR,1,0.003
PREVENTIS,1,0.003
PRIMARVERSORGUNGSZENTRUM HASLACH,1,0.003
PRIMARY CARE CLIN,1,0.003
PRIMARY CARE CTR,1,0.003
PRIMARY CARE CTR A ESTRADA,1,0.003
PRIMARY CARE CTR ARNEDO,1,0.003
PRIMARY CARE CTR CASTILLA HERMIDA,1,0.003
PRIMARY CARE CTR LA ALAMEDILLA,1,0.003
PRIMARY CARE CTR VALLOBIN LA FLORIDA,1,0.003
PRIMARY CARE PREVENT HLTH PROMOT NETWORK REDIAP,1,0.003
PRIMARY HEALTHCARE CTR VARDCENT NORRA FALADEN,1,0.003
PRIMARY HEALTHCARE INC,1,0.003
PRIMARY HEALTHCARE RES UNIT,1,0.003
PRIMARY HLTH CARE,1,0.003
PRIMARY HLTH CARE AREA,1,0.003
PRIMARY HLTH CARE CLIN,1,0.003
PRIMARY HLTH CARE DIV,1,0.003
PRIMARY HLTH CARE MANAGEMENT LEON SACYL,1,0.003
PRIMARY HLTH CARE PRIMORSKO GORANSKA CTY,1,0.003
PRIMARY HLTH CARE UNIT,1,0.003
PRIMARY HLTH CTR GUMMADIDALA,1,0.003
PRIMULA MULTIMEDIA SRL,1,0.003
PRINCE ALEXANDRA HOSP,1,0.003
PRINCE COURT MED CTR,1,0.003
PRINCE FELIPE RESEARCH CENTER,1,0.003
PRINCE MANSOUR MIL COMMUNITY HOSP,1,0.003
PRINCE OF SONGKLA UNIVERSITY,1,0.003
PRINCE SULTAN MIL MED CITY,1,0.003
PRINCESS AL JAWHARA ALBRAHIM CTR EXCELLENCE RES H,1,0.003
PRINCESS ALEXANDRA EYE HOSP,1,0.003
PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1,0.003
PRINCESS MARGARET CANCER CENTRE,1,0.003
PRINCESS ROYAL HOSP,1,0.003
PRITIKIN SYST INC,1,0.003
PRIVATE ANKARA UMUT HOSPITAL,1,0.003
PRIVATE CLIN RADIOL Q DIAGNOST SCANNER MURCIA,1,0.003
PRIVATE ISTANBUL HOSPITAL,1,0.003
PRIVATE MED UNIV,1,0.003
PRIVATE MED UNIV SALZBURG,1,0.003
PRIVATE PRACTICE MUDR IVAN MAJERCAK,1,0.003
PRIVATE UNIV FURSTENTUM LIECHTENSTEIN,1,0.003
PRIVATE UNIV FURSTENTUM LIECHTENSTEIN UFL,1,0.003
PRIVATE UNIV PRINCIPAL LIECHTENSTEIN,1,0.003
PRIVATKLIN DOBLING,1,0.003
PRIVOLZHSKY RESEARCH MEDICAL UNIVERSITY,1,0.003
PRO CHANGE BEHAV SYST INC,1,0.003
PROBAL HOUSING LTD,1,0.003
PROCAPE UNIV PERNAMBUCO UPE,1,0.003
PRODUCE BETTER HLTH FDN,1,0.003
PROF M VISWANATHAN DIABET RES CTR,1,0.003
PROFESS ASSISTANCE PROGRAM NEW JERSEY INC,1,0.003
PROGRAM PREVENT OUTCOMES,1,0.003
PROGRAMA CORAZON SANO MUNICIPALIDAD VILLA MARIA,1,0.003
PROGRAMME INT ASSESSMENT ADULT COMPETENCIES,1,0.003
PROGRAMME INT STUDENT ASSESSMENT,1,0.003
PROHLTH INC,1,0.003
PROJECT MOMENTUM INC,1,0.003
PRONTO CARDIO,1,0.003
PRONTO SOCORRO CARDIOL PERNAMBUCO PROCAPE,1,0.003
PRONTO SOCORRO CARDIOL PERNAMBUCO PROCAPE UPE,1,0.003
PROPERSONA,1,0.003
PROT SUPPLIES SL,1,0.003
PROTYPO NEFROL KENTRO ATTIKIS,1,0.003
PROV CTR DIS CONTROL,1,0.003
PROV HLTH AUTHOR,1,0.003
PROVIDENCE HEART INST,1,0.003
PROVIDENCE HOSP MED CTR,1,0.003
PROVIDENCE SACRED HEART MED CTR,1,0.003
PROVIDENCE ST PETER HOSP,1,0.003
PROVIDENCE ST VINCENT MED CTR,1,0.003
PROVIDENT CLIN RES CONSULTING INC,1,0.003
PROVIDENT RESOURCES GRP INC,1,0.003
PS DUPONT ELEMENTARY SCH,1,0.003
PSG IMSR,1,0.003
PSG INST MED SCI RES,1,0.003
PSPH EMERGENCY MED PHYS GRP CME,1,0.003
PSYCHIAT CTR GGZ CENT,1,0.003
PSYCHIAT DIENSTE GRAUBUENDEN,1,0.003
PSYCHIAT HOSP ATTIKI,1,0.003
PSYCHIAT HOSP CROSS,1,0.003
PSYCHIAT SOUTH,1,0.003
PSYCHIAT UNIV CLIN,1,0.003
PSYCHIAT UNIV HOSP,1,0.003
PSYCHOL HLTH CTR,1,0.003
PSYCHOL HSCH BERLIN,1,0.003
PSYCHOL PRAXIS,1,0.003
PSYD,1,0.003
PSYQ,1,0.003
PSYQ EXPERTISE CTR ADULT ADHD,1,0.003
PSYQ PROGRAM ADULT ADHD,1,0.003
PSYQ RIJNMOND,1,0.003
PT GOVT ASSOCIATE LAB,1,0.003
PT RAVISHANKAR SHUKLA UNIVERSITY,1,0.003
PUBL HEALTH SEATTLE KING CTY,1,0.003
PUBL HLTH ADVOCACY INST,1,0.003
PUBL HLTH AUTHOR RHEIN NECKAR KREIS,1,0.003
PUBL HLTH CORE LAB,1,0.003
PUBL HLTH DEPT GIPUZKOA,1,0.003
PUBL HLTH ENVIRONM RES CTR,1,0.003
PUBL HLTH HLTH PALNNING DIRECTORATE,1,0.003
PUBL HLTH LAB NETHERLANDS ARTILLES,1,0.003
PUBL HLTH PARTNERS LLC,1,0.003
PUBL HLTH SEATTLE KING CTY,1,0.003
PUBL HLTH SERV,1,0.003
PUBL HLTH SERV ROTTERDAM,1,0.003
PUBL HLTH SERV SOUTH LIMBURG,1,0.003
PUBL HLTH SOLUT,1,0.003
PUBL HLTH TRUST,1,0.003
PUBL MED ACAD,1,0.003
PUBL POLICY INST CALIF,1,0.003
PUBL PSYCHIAT FELLOWSHIP,1,0.003
PUBL UNIV NAVARRA NAVARRA SPAIN,1,0.003
PUBL UNIV NAVARRE NAVARRABIOMED,1,0.003
PUEBLO LAGUNA,1,0.003
PUENTES DE SALUD HLTH CTR,1,0.003
PUGE CTY CTR DIS CONTROL PREVENT,1,0.003
PUGET SOUND VET AFFAIRS ADM,1,0.003
PUI CHING MIDDLE SCH MACAU,1,0.003
PUNJAB AGRICULTURAL UNIVERSITY,1,0.003
PUNJAB MED CTR,1,0.003
PURDUE PHARMA LP,1,0.003
PURE NORTH SENERGY FDN,1,0.003
PUSAT HUMANIORA PEMBERDAYAAN KEBIJAKAN KESEHATA,1,0.003
PUTIAN UNIVERSITY,1,0.003
PUTRAJAYA HOSP,1,0.003
PUYANG OILFIELD GEN HOSP,1,0.003
PUZI HOSP,1,0.003
PWANI UNIVERSITY,1,0.003
PYEONGCHANG HLTH CTR CTY HOSP,1,0.003
PYTHAGORAS INC,1,0.003
QATARI DIAR REAL ESTATE DEV CO,1,0.003
QEII HOSP,1,0.003
QILU UNIVERSITY OF TECHNOLOGY,1,0.003
QINGDAO AGRICULTURAL UNIVERSITY,1,0.003
QINGDAO CDC,1,0.003
QINGDAO ENDOCRINE DIABET INST,1,0.003
QINGDAO INST FOOD DRUG CONTROL,1,0.003
QINGDAO MENTAL HLTH CTR,1,0.003
QINGDAO MUNICIPAL HOSP,1,0.003
QINGDAO UNIV MED COLL,1,0.003
QINGHAI UNIVERSITY,1,0.003
QT INFORMAT LTD,1,0.003
QUAL LIFE CONSULTING,1,0.003
QUAL TRUMAN MED CTR,1,0.003
QUANTA DIAGNOST TERAPIA,1,0.003
QUANZHOU BLOOD CTR,1,0.003
QUEBEC HEART INST,1,0.003
QUEBEC NATL INST PUBL HLTH,1,0.003
QUEEN ALEXANDRA HOSPITAL,1,0.003
QUEEN ASTRID MIL HOSP,1,0.003
QUEEN ELIZABETH UNIVERSITY HOSPITAL QEUH,1,0.003
QUEEN MARGARET UNIVERSITY,1,0.003
QUEEN MARYS COLL,1,0.003
QUEENS MED HOSP,1,0.003
QUEENS UNIV BELFAST,1,0.003
QUEENSBORO COMMUNITY COLL,1,0.003
QUEENSBOROUGH COMMUNITY COLL,1,0.003
QUEENSLAND EYE INSTITUTE,1,0.003
QUEST DIAGNOST INC,1,0.003
QUIRONSALUDTEKNON HEART INST,1,0.003
QUIRONSALUDTEKNONHEART INST,1,0.003
R D CTR,1,0.003
R D CTR SKARABORG PRIMARY CARE,1,0.003
R SQUARED STAT,1,0.003
RADBOUDUMC AMALIA CHILDRENS HOSP,1,0.003
RADIATION THERAPY ONCOLOGY GROUP RTOG,1,0.003
RADIOL ASSOCIATES TARRANT CTY,1,0.003
RAF HENLOW,1,0.003
RAFFLES MED GRP CLIN,1,0.003
RAFIC HARIRI UNIV HOSP,1,0.003
RAFSANJAN UNIV MED SCI,1,0.003
RAINBOW CHILDRENS HOSP,1,0.003
RAJAIE CARDIOVASC MED RES CTR,1,0.003
RAJIV GANDHI CENTRE FOR BIOTECHNOLOGY RGCB,1,0.003
RAJIV GANDHI UNIVERSITY ITANAGAR,1,0.003
RAJRAJESHSTARI MED COLL,1,0.003
RAJSHAHI UNIV,1,0.003
RAKUWAKAI OTOWA HOSP,1,0.003
RALLY HLTH,1,0.003
RALPH H JOHNSTON VET ADM MED CTR,1,0.003
RAMBO ENVIRON US CORP,1,0.003
RAMBOLL ENVIRON,1,0.003
RAMBOLL ENVIRON US CORP,1,0.003
RANCHO LOS AMIGOS MED CTR,1,0.003
RAND CTR POPULAT HLTH HLTH DISPAR,1,0.003
RANDALLS RD LEATHERHEAD,1,0.003
RANGSIT UNIVERSITY,1,0.003
RANGUEIL MED SCH,1,0.003
RANGUEIL UNIV HOSP,1,0.003
RANRYOEN HOSP,1,0.003
RAPARIN UNIV,1,0.003
RC EPIDEMIOL UNIT,1,0.003
RC PATEL COLL PHARM,1,0.003
READING HOSP TOWER HLTH,1,0.003
REAL HOSP PORTUGUES,1,0.003
REAL HOSP PORTUGUES BENEFICENCIA,1,0.003
REATA PHARMACEUT INC,1,0.003
RECINTE HOSP JOAN MARCH,1,0.003
RECKITT BENCKISER,1,0.003
RECOMBINETICS INC,1,0.003
RED CRESCENT INST CARDIOL,1,0.003
RED INVEST RENAL REDINREN,1,0.003
RED INVEST SERV SALUD ENFERMEDADES CRON,1,0.003
RED RIVER COLL,1,0.003
RED ROCK MED CTR,1,0.003
RED TEMAT INVEST COOPERATIVA REDINREN,1,0.003
REDCAR CLEVELAND BOROUGH COUNCIL,1,0.003
REDE MATERDEI SAUDE,1,0.003
REDINREN,1,0.003
REED ELSEVIER,1,0.003
REFERENCE CTR ROSSELKHOZNADZOR,1,0.003
REFINED FOOD ADDICT REFA RES FDN,1,0.003
REFIT CLIN SRO,1,0.003
REG AGCY ENVIRONM PREVENT EMILIA ROMAGNA,1,0.003
REG AMBULATORY CARDIOLOGISTS ASSOCIAT ARCA,1,0.003
REG CTR HLTH PROMOT,1,0.003
REG HLTH AGCY TUSCANY,1,0.003
REG HLTH AUTHOR,1,0.003
REG HLTH SERV ASL T03,1,0.003
REG HOSP,1,0.003
REG HOSP BREGENZ,1,0.003
REG HOSP LIC ADOLFO LOPEZ MATEOS,1,0.003
REG HOSP ONCOL,1,0.003
REG HOSP PARDUBICE,1,0.003
REG HOSP VIBORG,1,0.003
REG HOUSE AARHUS,1,0.003
REG INST OCCUPAT HLTH,1,0.003
REG KLINIKEN HOLDING RKH GMBH,1,0.003
REG SPECIALIST HOSP OLSZTYN,1,0.003
REG TOSCANA HLTH COUNCIL,1,0.003
REG WATERLOO,1,0.003
REGENT UNIV,1,0.003
REGGIO EMILIA SCH MED,1,0.003
REGIE REG SANTE SERV SOCIAUX,1,0.003
REGIE REG SANTE SERV SOCIAUX MONTREAL CTR,1,0.003
REGINA MONTIS REGALIS HOSP,1,0.003
REGION SJAELLAND,1,0.003
REGIONAL ENVIRONMENTAL PROTECTION AGENCY ITALY,1,0.003
REGISTRO TUMORI,1,0.003
REHA ZENTRUM MUNSTER,1,0.003
REHABIL CLIN SCHONSICHT,1,0.003
REHABIL CTR SEEHOF,1,0.003
REINA SOFIA UNIV HOS,1,0.003
REINA SOFIA UNIV HOSP,1,0.003
REINBEK HOSP,1,0.003
RENAISSANCE COMP INST,1,0.003
RENAL RESEARCH INSTITUTE,1,0.003
RENE DESCARTES PARIS V,1,0.003
RENMIN HOSP HAIMEN CITY,1,0.003
REPROSOURCE,1,0.003
REPUBL CTR CARDIOL,1,0.003
REPUBLICAN CARDIOL HLTH CTR,1,0.003
REPUBLICAN SPECIALIZED SCI PRACT MED CTR THERAPY,1,0.003
RES BIOMED INST MURCIA,1,0.003
RES CTR CHUQ,1,0.003
RES CTR FOOD NUTR CREA,1,0.003
RES CTR IRANIAN TISSUE BANK,1,0.003
RES CTR MONTREAL HEART INST,1,0.003
RES CTR QUEBEC CITY CHU,1,0.003
RES CTR TOX CPDS ENVIRONM RECETOX,1,0.003
RES DEV,1,0.003
RES GRP CEDA HUM 1016,1,0.003
RES GRP NUTR MENTAL HLTH NUTRISAM,1,0.003
RES INST,1,0.003
RES INST ALCOHOLISM,1,0.003
RES INST CHILD DEV EDUC,1,0.003
RES INST CHILD NUTR DORTMUND,1,0.003
RES INST CLIN MED,1,0.003
RES INST ENDOCRINE SCI 24 PARVANEH,1,0.003
RES INST EXERCISE MED,1,0.003
RES INST GERMANS TRIAS PUJOL,1,0.003
RES INST MAASTRICHT,1,0.003
RES INST ORGAN AGR,1,0.003
RES INST POMOL FLORICULTURE,1,0.003
RES INST PROD DEV,1,0.003
RES INST THERAPY PREVENT MED,1,0.003
RES UNIT GEN PRACTICE COPENHAGEN,1,0.003
RESEARCH CENTER OF BIOTECHNOLOGY RAS,1,0.003
RESEARCH COUNCIL OF NORWAY,1,0.003
RESEARCH INSTITUTE FOR COMPLEX ISSUES OF CARDIOVASCULAR DISEASES,1,0.003
RESEARCH INSTITUTE FOR HUMANITY NATURE RIHN,1,0.003
RESEAU D ETABLISSEMENTS DE L ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE DE CHAMPAGNE ARDENNE,1,0.003
RESEAU HTA GWAD,1,0.003
RESEAU MORPHEE,1,0.003
RESP SPECIALISTS,1,0.003
RESPONSE ANAL CORP,1,0.003
RESPONSE TECHNOL,1,0.003
RETHINK HLTH,1,0.003
RETICEF,1,0.003
RETINA CONSULTANTS HOUSTON,1,0.003
REVITALIS,1,0.003
REX HEALTHCARE INC,1,0.003
RFUMS,1,0.003
RG KAR MED COLL HOSP,1,0.003
RGB CONSULTING,1,0.003
RHC MANGA MANDI,1,0.003
RHEUMATOL PRAXISZENTRUM ST BONIFATIUS,1,0.003
RHEUMATOL SCHWERPUNKTPRAXIS,1,0.003
RHEUMATOL SECT,1,0.003
RHEUMAZENTRUM RUHRGEBIET,1,0.003
RHO,1,0.003
RHO FED SYST,1,0.003
RHODE ISL CANC COUNCIL INC,1,0.003
RHODE ISL COLL,1,0.003
RHODES COLL,1,0.003
RHODIA,1,0.003
RHON KLINIKUM AG,1,0.003
RIBEIRAO PRETO MED SCH,1,0.003
RIBESMET RED IBEROAMER ESTUDIO SINDROME METAB,1,0.003
RIC SANTIAGO DE COMPOSTELA,1,0.003
RICHARD H WEISLER MD ASSOC,1,0.003
RICHARD STOCKTON COLL,1,0.003
RICHLAND MEM HOSP,1,0.003
RICHMOND HEALTHY START INITIAT DEPT SOCIAL SERV,1,0.003
RICHMOND UNIV,1,0.003
RIDDET INSITITUTE,1,0.003
RIDER UNIVERSITY,1,0.003
RIJNDAM REHABIL INST,1,0.003
RIJNMOND ZUID MED CTR,1,0.003
RIJNSTATE HOSPITAL,1,0.003
RIKSHOSP,1,0.003
RINNEKOTI FDN,1,0.003
RIPHAH INT UNIV,1,0.003
RIPHAH INT UNIV ISLAMABAD,1,0.003
RIPPE LIFESTYLE RES INST FLORIDA,1,0.003
RISE COORDINATING CTR,1,0.003
RIVATREM,1,0.003
RIVERSIDE GEN HOSP,1,0.003
RIVERSIDE METHODIST HOSP,1,0.003
RIVIERDUINEN,1,0.003
RIZHAO CITY HOSP TRADIT CHINESE MED,1,0.003
RKDF MCH RC,1,0.003
ROANOKE COLL,1,0.003
ROBERT PACKER HOSP,1,0.003
ROBERT STEMPEL COLL PUBL HLTH,1,0.003
ROBERT WOOD JOHNSON CLIN SCHOLARS PROGRAM,1,0.003
ROCHE INNOVAT CTR COPENHAGEN,1,0.003
ROCKWOOL FDN,1,0.003
ROCKWOOL FDN RES UNIT,1,0.003
ROCKY MOUNTAIN UNIVERSITY HEALTH PROFESSIONS,1,0.003
ROCKY MT REG VET AFFAIRS MED CTR,1,0.003
ROESSINGH RES DEV,1,0.003
ROGER WILLIAMS MEDICAL CENTER,1,0.003
ROGER WILLIAMS UNIV,1,0.003
ROGOSIN INST,1,0.003
ROHM CO,1,0.003
ROOYAN DAROU PHARMACEUT CO,1,0.003
ROQUETTE,1,0.003
ROQUETTE FRERES,1,0.003
ROSARIO NATL UNIV UNR,1,0.003
ROSENECK HOSP BEHAV MED,1,0.003
ROSENLUND PRIMARY CARE UNIT,1,0.003
ROSKILDE HOSP,1,0.003
ROSLYN HIGH SCH,1,0.003
ROSWELL PARK COMPREHENS CANC CTR,1,0.003
ROTHAMSTED RESEARCH,1,0.003
ROTHERHAM BOROUGH COUNCIL,1,0.003
ROTTAPHARM MADAUS SL,1,0.003
ROVANIEMI HLTH CTR,1,0.003
ROY J LUCILLE CARVER COLL MED,1,0.003
ROYAL BOLTON HOSPITAL,1,0.003
ROYAL BRISBANE HOSP,1,0.003
ROYAL CANIN SAS,1,0.003
ROYAL COLL PHYS SURG GLASGOW,1,0.003
ROYAL COLLEGE OF SURGEONS OF ENGLAND,1,0.003
ROYAL CORNWALL HOSPITAL,1,0.003
ROYAL DANISH ACAD FINE ARTS,1,0.003
ROYAL DUTCH SHELL,1,0.003
ROYAL EDINBURGH ASSOCIATED HOSP,1,0.003
ROYAL GRP HOSP,1,0.003
ROYAL HOBART HOSPITAL,1,0.003
ROYAL HOSP WOLVERHAMPTON,1,0.003
ROYAL PAPWORTH HOSP FDN TRUST,1,0.003
ROYAL SOC PROMOT HLTH,1,0.003
ROYAL STOKE UNIV HOSP UHNM NHS TRUST,1,0.003
ROYAL UNITED HOSP,1,0.003
ROYAL VICTORIA TEACHING HOSP,1,0.003
ROYAL VICTORIAN EYE EAR HOSPITAL,1,0.003
ROYAL WEST ACAD,1,0.003
ROYAL ZOOL SOC ANTWERP,1,0.003
RPPC TEAM,1,0.003
RSA RESIDENCE FUTURA,1,0.003
RSP UNHAS,1,0.003
RUBY HALL CLIN,1,0.003
RUI JIN HOSP,1,0.003
RUIAN MATERN CHILD CARE HOSP,1,0.003
RUMBALARA ABORIGINAL COOPERAT,1,0.003
RUPPINER KLINIKEN INNERE MED,1,0.003
RUSH MED COLL,1,0.003
RUSH PRESBYTERIAN ST LUKES MED CTR,1,0.003
RUSH UNIV,1,0.003
RUSSIAN ACAD MENTAL HLTH,1,0.003
RUSSIAN GERONTOL SCI CLIN CTR,1,0.003
RUSSIAN INST HAEMATOL TRANSFUS,1,0.003
RUTGERS NISSO GRP,1,0.003
RUTGERS STATE UNIV,1,0.003
RWJF,1,0.003
RYAZAN STATE MEDICAL UNIVERSITY,1,0.003
RYHOV CTY HOSP,1,0.003
RYUTSU KEIZAI UNIV,1,0.003
RZESZOW UNIVERSITY OF TECHNOLOGY,1,0.003
RZHANOV INSTITUTE OF SEMICONDUCTOR PHYSICS SIBERIAN BRANCH RUSSIAN ACADEMY OF SCIENCES,1,0.003
S AFRICAN MED COUNCIL,1,0.003
S AUSTRALIAN COMMUNITY HLTH RES UNIT,1,0.003
S BEACH PREVENT CARDIOL,1,0.003
S CAROLINA CANC CTR,1,0.003
S CENT VA HOSP,1,0.003
S CENT VA MENTAL ILLNESS RES EDUC CLIN CTR,1,0.003
S ESSEX PARTNERSHIP UNIV FDN TRUST,1,0.003
S GERARDO HOSP,1,0.003
S GIOVANNI DI DIO HOSP,1,0.003
S GIOVANNI EVANGELISTA HOSP,1,0.003
S GIOVANNI PAOLO II HOSP,1,0.003
S LUCA HOSP,1,0.003
S MARIA ANNUNZIATA HOSP,1,0.003
S MARIA BATTUTI HOSP,1,0.003
S MARIA DELLA PIETA HOSP,1,0.003
S MARIA GRAZIE,1,0.003
S MARTA HOSP,1,0.003
S OSTROBOTNIA CENT HOSP,1,0.003
S RAFFAELE CITTADELLA CARITA FDN,1,0.003
S SALVATORE HOSP,1,0.003
S SHORE VISITING NURSE ASSOC,1,0.003
SA DEPT HLTH,1,0.003
SA PATHOLOGY,1,0.003
SAARLAND CANC REGISTRY,1,0.003
SABA UNIV,1,0.003
SABARA CHILDRENS HOSP,1,0.003
SACKIHAI INST,1,0.003
SACRED HEART MED CTR,1,0.003
SACYL,1,0.003
SAFDARJANG HOSP,1,0.003
SAGA HOSP,1,0.003
SAGE COLL,1,0.003
SAGE NEUROSCI CTR,1,0.003
SAHLGRENSKA AKAD,1,0.003
SAHLGRENSKA AKADEMIN,1,0.003
SAHLGRENSKA HOSP OSTRA,1,0.003
SAHMYOOK MED CTR,1,0.003
SAHMYOOK UNIVERSITY,1,0.003
SAINT ALPHONSUS REGIONAL MEDICAL CENTER,1,0.003
SAINT FRANCIS HOSPITAL MEDICAL CENTER,1,0.003
SAINT JAMES S UNIVERSITY HOSPITAL,1,0.003
SAINT JOSEPH UNIVERSITY BEIRUT,1,0.003
SAINT MARYS UNIVERSITY CANADA,1,0.003
SAINT PETER S UNIVERSITY HOSPITAL,1,0.003
SAINT PETERSBURG STATE PEDIATRIC MEDICAL UNIVERSITY,1,0.003
SAINT VINCENTS HOSPITAL MANHATTAN,1,0.003
SAISEIKAI IMABARI HOSP,1,0.003
SAISEIKAI KURE HOSP,1,0.003
SAISEIKAI KYOTO HOSP,1,0.003
SAISEIKAI MATSUYAMA HOSP,1,0.003
SAISEIKAI SAIJO HOSP,1,0.003
SAISEIKAI TAKAOKA HOSP,1,0.003
SAITAMA CITIZEN MED CTR,1,0.003
SAITAMA CITY GOVT,1,0.003
SAITAMA MEM HOSP,1,0.003
SAKA GEN HOSP,1,0.003
SAKAI CITY MED CTR,1,0.003
SAKAZAKI CLIN,1,0.003
SAKURA INC,1,0.003
SAL HOSP,1,0.003
SALAHADDIN UNIVERSITY,1,0.003
SALESI HOSP,1,0.003
SALMANIYA MED COMPLEX,1,0.003
SALUS INFIRMORUM CLIN,1,0.003
SALVEO DIAGNOST INC,1,0.003
SALVEO DIAGNOST LLC,1,0.003
SALZBURG UNIVERSITY,1,0.003
SAMAS ASSOC,1,0.003
SAMFUNDET FOLKHALSAN,1,0.003
SAMODZIELNY PUBLI PSYCHIAT ZAKLAD OPIEKUNCZO LECZ,1,0.003
SAMODZIELNY PUBLI SZPITAL KLIN 1 LUBLINIE,1,0.003
SAMSUNG LIFE INSURANCE,1,0.003
SAMUEL OSCHIN COMPREHENS CANC CTR,1,0.003
SAMUELI INST,1,0.003
SAMUR PROTECC CIVIL,1,0.003
SAN ANTONIO HOSP,1,0.003
SAN CAMILLO DELELLIS GEN HOSP,1,0.003
SAN CAMILLO HOSP,1,0.003
SAN CECILIO HOSP,1,0.003
SAN DIEGO PREVENT RES CTR,1,0.003
SAN DIEGO SCI CTR,1,0.003
SAN DIEGO VA HEALTHCARE,1,0.003
SAN FRANCISCO AIDS FDN,1,0.003
SAN FRANCISCO BAY AREA CTR COGNIT THERAPY,1,0.003
SAN FRANCISCO DEPT VET AFFAIRS,1,0.003
SAN FRANCISCO VET AFFAIR MED CTR,1,0.003
SAN GERARDO UNIV HOSP,1,0.003
SAN GIOVANNI BOSCO HOSP,1,0.003
SAN GIOVANNI DECOLLATO ANDOSILLA HOSP,1,0.003
SAN GIOVANNI DIO HOSP,1,0.003
SAN GIOVANNI UNIV HOSP,1,0.003
SAN GIUSEPPE MOSCATI HOSPITAL,1,0.003
SAN LAZZARO HOSP,1,0.003
SAN LUIS OBISPO CTY WOMEN INFANTS CHILDREN SUPP,1,0.003
SAN LUIS POTOSI AUTONOMOUS UNIV,1,0.003
SAN RAFFAELE FDN,1,0.003
SAN RAFFAELE ROME OPEN UNIV,1,0.003
SAN REMO REHABIL HOSP,1,0.003
SANA KLINIKEN DUSSELDORF GMBH,1,0.003
SANA KLINIKUM HOF GMBH,1,0.003
SANATORIO ALLENDE,1,0.003
SANATORIO MUNICIPAL JULIO MENDEZ,1,0.003
SANATORIO SAN CARLOS,1,0.003
SANBO BRAIN HOSP,1,0.003
SANDERS CONSULTING SERV,1,0.003
SANDWELL WEST BIRMINGHAM HOSP NHS TRUST,1,0.003
SANFORD WITTELS HEISLER LLP,1,0.003
SANGAMO THERAPEUT,1,0.003
SANGJI UNIVERSITY,1,0.003
SANGLAH GENERAL HOSPITAL,1,0.003
SANITARY DIST PRIMARY CARE SEVILLA,1,0.003
SANLIURFA SURUC STATE HOSPITAL,1,0.003
SANNO HOSP,1,0.003
SANOFI CONSUMER HEALTHCARE,1,0.003
SANOFI GENZYME,1,0.003
SANTA BARBARA CTY WOMEN INFANTS CHILDREN SUPPLE,1,0.003
SANTA BARBARA INST CONSCIOUSNESS STUDIES,1,0.003
SANTA CASA BELO HORIZONTE,1,0.003
SANTA CASA DE MISERICORDIA PORTO ALEGRE,1,0.003
SANTA CASA MISERICORDIA FEIRA DE SANTANA,1,0.003
SANTA CASA MISERICORDIA PORTO ALEGRE,1,0.003
SANTA CASA SAO PAULO SCH MED SCI,1,0.003
SANTA CHIARA HOSPITAL,1,0.003
SANTA MARIA ANNUNZIATA HOSP,1,0.003
SANTA MARIA HOSP,1,0.003
SANTA MARIA STELLA HOSP,1,0.003
SANTIAGO APOSTOL HOSP,1,0.003
SANTO TOMAS UNIV,1,0.003
SANTOBONO PAUSILIPON CHILDRENS HOSP,1,0.003
SANUS CORP HLTH SYST,1,0.003
SANYO ELECT CO LTD,1,0.003
SAO JOAO HOSP CTR,1,0.003
SAO PAULO OSASCO MUNICIPAL,1,0.003
SAO PAULO STATE CANC INST,1,0.003
SAPPHIRE GRP INC,1,0.003
SAPPORO FIRE BUR,1,0.003
SARAH NETWORK REHABIL HOSP,1,0.003
SARAIVA BERLINGER LTDA,1,0.003
SARASWATHI INST MED SCI,1,0.003
SARATOV REG HOSP,1,0.003
SARENA CLIN,1,0.003
SARIKAMIS MILITARY HOSPITAL,1,0.003
SARVER HEART CTR,1,0.003
SASEBO CITY GEN HOSP,1,0.003
SAUDI GERMAN HOSP GRP,1,0.003
SAVEETHA DENTAL COLLEGE HOSPITAL,1,0.003
SAVEETHA INSTITUTE OF MEDICAL TECHNICAL SCIENCE,1,0.003
SAVITRIBAI PHULE PUNE UNIVERSITY,1,0.003
SAVOIE UNIV,1,0.003
SAVONLINNA CENT HOSP,1,0.003
SBC,1,0.003
SBCBM,1,0.003
SBS,1,0.003
SBU,1,0.003
SCANIA UNIV HOSP,1,0.003
SCARBOROUGH HOSPITAL,1,0.003
