Funding_Agencies,records,percent_of_total
UNIVERSITY OF PITTSBURGH CLAUDE D PEPPER CENTER PROGRAM,1,0.003
UNIVERSITY OF PITTSBURGH CLINICAL AND TRANSLATIONAL SCIENCE INSTITUTE CTSI,1,0.003
UNIVERSITY OF PITTSBURGH MEDICAL CENTER,1,0.003
UNIVERSITY OF PITTSBURGH ULTRASOUND RESEARCH LABORATORY,1,0.003
UNIVERSITY OF QUEENSLAND I TUITION SCHOLARSHIP,1,0.003
UNIVERSITY OF RHODE ISLAND,1,0.003
UNIVERSITY OF ROCHESTER,1,0.003
UNIVERSITY OF ROCHESTER CTSA,1,0.003
UNIVERSITY OF ROCHESTER SCHOOL OF NURSING FACULTY RESEARCH SERVICE,1,0.003
UNIVERSITY OF ROCHESTER SCHOOL OF NURSING FACULTY RESEARCH SERVICE GRANT,1,0.003
UNIVERSITY OF SALAMANCA,1,0.003
UNIVERSITY OF SALAMANCA BANCO SANTANDER,1,0.003
UNIVERSITY OF SASKATCHEWAN CANADA FROM THE SOCIAL SCIENCES AND HUMANITIES RESEARCH COUNCIL OF CANADA,1,0.003
UNIVERSITY OF SASKATCHEWAN SCHOOL OF PUBLIC HEALTH,1,0.003
UNIVERSITY OF SOUTH AUSTRALIA POSTGRADUATE AWARD,1,0.003
UNIVERSITY OF SOUTH AUSTRALIA TOP UP SCHOLARSHIP,1,0.003
UNIVERSITY OF SOUTH CAROLINA FROM THE COCA COLA COMPANY,1,0.003
UNIVERSITY OF SOUTH CAROLINA OFFICE OF THE PROVOST,1,0.003
UNIVERSITY OF SOUTH CAROLINA S OFFICE OF THE PROVOST S SOCIAL SCIENCES GRANT PROGRAMME,1,0.003
UNIVERSITY OF SOUTHERN CALIFORNIA,1,0.003
UNIVERSITY OF SOUTHERN CALIFORNIA CENTER FOR TRANSDISCIPLINARY RESEARCH ON ENERGETICS AND CANCER,1,0.003
UNIVERSITY OF SOUTHERN CALIFORNIA TRANSDISCIPLINARY TOBACCO USE RESEARCH CENTER TTURC,1,0.003
UNIVERSITY OF SOUTHERN CALIFORNIA UCLA CENTER FOR BIODEMOGRAPHY AND POPULATION HEALTH,1,0.003
UNIVERSITY OF SOUTHERN QUEENSLAND RESEARCH INNOVATION DIVISION,1,0.003
UNIVERSITY OF SURREY,1,0.003
UNIVERSITY OF SUSSEX,1,0.003
UNIVERSITY OF SYDNEY MEDICAL SCHOOL KICKSTARTER GRANT,1,0.003
UNIVERSITY OF SYDNEY MERIT AWARD,1,0.003
UNIVERSITY OF TAMPERE,1,0.003
UNIVERSITY OF TASMANIA,1,0.003
UNIVERSITY OF TASMANIA INSTITUTIONAL RESEARCH GRANTS SCHEME,1,0.003
UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER GENERAL CLINICAL RESEARCH CENTER,1,0.003
UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER MEMPHIS TENNESSEE,1,0.003
UNIVERSITY OF TEXAS,1,0.003
UNIVERSITY OF TEXAS AT AUSTIN SCHOOL OF NURSING,1,0.003
UNIVERSITY OF TEXAS ATARLINGTON COLLEGE OF NURSING AND HEALTH INNOVATION,1,0.003
UNIVERSITY OF TEXAS AUSTIN SCHOOL OF ARCHITECTURE HOGG FELLOWSHIP,1,0.003
UNIVERSITY OF TEXAS BOARD OF REGENTS JESS HAY CHANCELLOR S FELLOWSHIP,1,0.003
UNIVERSITY OF TEXAS EL PASO,1,0.003
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,1,0.003
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON SCHOOL OF PUBLIC HEALTH,1,0.003
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON UTHEALTH CENTER OF EXCELLENCE ON MOOD DISORDERS USA,1,0.003
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,1,0.003
UNIVERSITY OF TEXAS MD ANDERSON CANCER CENTER DUNCAN FAMILY INSTITUTE FOR CANCER PREVENTION AND RISK ASSESSMENT FACULTY FELLOWSHIP,1,0.003
UNIVERSITY OF TEXAS MD ANDERSON CANCER CENTER VIA NATIONAL INSTITUTES OF HEALTH NATIONAL INSTITUTE ON DRUG ABUSE,1,0.003
UNIVERSITY OF TEXAS MD ANDERSON S CANCER CENTER START UP FUNDS,1,0.003
UNIVERSITY OF TEXAS MEDICAL BRANCH UTMB S INSTITUTE FOR TRANSLATIONAL SCIENCES,1,0.003
UNIVERSITY OF TEXAS RIO GRANDE VALLEY UTRGV,1,0.003
UNIVERSITY OF TEXAS SCHOOL OF PUBLIC HEALTH,1,0.003
UNIVERSITY OF TEXAS SCHOOL OF PUBLIC HEALTH CANCER EDUCATION AND CAREER DEVELOPMENT PROGRAM NATIONAL CANCER INSTITUTE NATIONAL INSTITUTES OF HEALTH,1,0.003
UNIVERSITY OF TEXAS SOUTHWESTERN,1,0.003
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER A DEDMAN FAMILY SCHOLAR IN CLINICAL CARE ENDOWMENT,1,0.003
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER O BRIEN KIDNEY RESEARCH CENTER,1,0.003
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER O BRIEN KIDNEY RESEARCH CORE CENTER,1,0.003
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL SCHOOL,1,0.003
UNIVERSITY OF TEXAS SOUTHWESTERN O BRIEN KIDNEY CENTER,1,0.003
UNIVERSITY OF THE AEGEAN,1,0.003
UNIVERSITY OF THE PUNJAB LAHORE PAKISTAN,1,0.003
UNIVERSITY OF THE SUNSHINE COAST AS PART OF THE PHD CANDIDATURE,1,0.003
UNIVERSITY OF THE WEST INDIES CAVE HILL CAMPUS ST MICHAEL BARBADOS,1,0.003
UNIVERSITY OF THE WEST INDIES ST AUGUSTINE,1,0.003
UNIVERSITY OF THE WITWATERSRAND AND MEDICAL RESEARCH COUNCIL SOUTH AFRICA,1,0.003
UNIVERSITY OF THEWITWATERSRAND,1,0.003
UNIVERSITY OF TORONTO BANTING AND BEST SCHOLARSHIP,1,0.003
UNIVERSITY OF TORONTO DEPARTMENT OF FAMILY AND COMMUNITY MEDICINE,1,0.003
UNIVERSITY OF TUBINGEN,1,0.003
UNIVERSITY OF TURKU FOUNDATION,1,0.003
UNIVERSITY OF TURKU GRADUATE SCHOOL DOCTORAL PROGRAMME IN CLINICAL RESEARCH,1,0.003
UNIVERSITY OF UTAH CENTER ON AGING GRANT,1,0.003
UNIVERSITY OF UTAH NEUROSCIENCE INITIATIVE,1,0.003
UNIVERSITY OF UTAH PATHOLOGY DEPARTMENT,1,0.003
UNIVERSITY OF UTAH SEED GRANT,1,0.003
UNIVERSITY OF UTAH UNDERGRADUATE RESEARCH OPPORTUNITY PROGRAM AWARD,1,0.003
UNIVERSITY OF UTAH VICE PRESIDENT FOR RESEARCH INNOVATION SEED GRANT,1,0.003
UNIVERSITY OF UTRECHT,1,0.003
UNIVERSITY OF VERONA SCHOOL OF MEDICINE,1,0.003
UNIVERSITY OF VERONA SCHOOL OF MEDICINE VERONA ITALY,1,0.003
UNIVERSITY OF VICOSA,1,0.003
UNIVERSITY OF VIRGINIA CENTER FOR ADDICTION PREVENTION RESEARCH,1,0.003
UNIVERSITY OF VIRGINIA CENTER FOR GLOBAL INQUIRY AND INNOVATION,1,0.003
UNIVERSITY OF VIRGINIA CHILDREN S HOSPITAL,1,0.003
UNIVERSITY OF VIRGINIA COLLEGE OF ARTS AND SCIENCES LEARNING TECHNOLOGIES INCUBATOR PROGRAM,1,0.003
UNIVERSITY OF VIRGINIA HEALTH SYSTEM,1,0.003
UNIVERSITY OF VIRGINIA S 4 VA INNOVATION GRANT PROJECT WJL,1,0.003
UNIVERSITY OF WARWICK,1,0.003
UNIVERSITY OF WASHINGTON CLINICAL NUTRITION RESEARCH UNIT,1,0.003
UNIVERSITY OF WASHINGTON DEPARTMENT OF PSYCHIATRY AND BEHAVIORAL SCIENCES,1,0.003
UNIVERSITY OF WASHINGTON DIVISION OF PULMONARY AND CRITICAL CARE MEDICINE LAKSHMINARAYAN FELLOW FUND ENDOWMENT GRANT,1,0.003
UNIVERSITY OF WASHINGTON NUTRITION OBESITY RESEARCH CENTER,1,0.003
UNIVERSITY OF WASHINGTON S CVD AND METABOLIC COMPLICATIONS OF HIV AIDS DATA COORDINATING CENTER,1,0.003
UNIVERSITY OF WASHINGTON SCHOOL OF MEDICINE,1,0.003
UNIVERSITY OF WASHINGTON THOMAS FRANCIS JR GLOBAL HEALTH TRAVEL FELLOWSHIP,1,0.003
UNIVERSITY OF WESTERN AUSTRALIA FACULTY OF MEDICINE DENTISTRY AND HEALTH SCIENCES,1,0.003
UNIVERSITY OF WESTERN AUSTRALIA HACKETT PHD SCHOLARSHIP,1,0.003
UNIVERSITY OF WESTERN AUSTRALIA SAFETY NET TOP UP SCHOLARSHIP,1,0.003
UNIVERSITY OF WESTERN AUSTRALIA SAFETYNET TOP UP SCHOLARSHIP,1,0.003
UNIVERSITY OF WESTERN ONTARIO BONE AND JOINT INSTITUTE,1,0.003
UNIVERSITY OF WESTERN ONTARIO INTERNAL SOCIAL SCIENCES AND HUMANITIES RESEARCH COUNCIL OF CANADA,1,0.003
UNIVERSITY OF WISCONSIN CARBONE CANCER CENTER SUPPORT GRANT,1,0.003
UNIVERSITY OF WISCONSIN CENTER FOR SLEEP MEDICINE AND RESEARCH,1,0.003
UNIVERSITY OF WISCONSIN DEPARTMENT OF FAMILY MEDICINE AND COMMUNITY HEALTH,1,0.003
UNIVERSITY OF WISCONSIN FROM CLINICAL AND TRANSLATIONAL SCIENCE AWARD PROGRAM OF NATIONAL CENTER FOR RESEARCH RESOURCES NATIONAL INSTITUTES OF HEALTH,1,0.003
UNIVERSITY OF WISCONSIN MADISON LECTURE,1,0.003
UNIVERSITY OF WISCONSIN SCHOOL OF MEDICINE AND PUBLIC HEALTH DEPARTMENT OF MEDICINE AND MEDICAL EDUCATION AND RESEARCH COMMITTEE NEW INVESTIGATOR AWARD,1,0.003
UNIVERSITY OF WISCONSIN UW CENTENNIAL SCHOLARS PROGRAM OF THE UW SCHOOL OF MEDICINE AND PUBLIC HEALTH,1,0.003
UNIVERSITY OF WITTEN HERDECKE,1,0.003
UNIVERSITY OF WITWATERSRAND,1,0.003
UNIVERSITY OF WOLLONGONG RESEARCH PARTNERSHIP GRANT,1,0.003
UNIVERSITY OF ZARAGOZA SPAIN,1,0.003
UNIVERSITY OF ZURICH,1,0.003
UNIVERSITY RESEARCH CHAIR FROM THE UNIVERSITY OF OTTAWA,1,0.003
UNIVERSITY RESEARCH COMMITTEE,1,0.003
UNIVERSITY RESEARCH COMMITTEE OF BAYLOR UNIVERSITY WACO TX,1,0.003
UNIVERSITY RESEARCH COMMITTEE UNIVERSITY OF CAPE TOWN,1,0.003
UNIVERSITY RESEARCH FUND OF THE CAPE PENINSULA UNIVERSITY OF TECHNOLOGY SOUTH AFRICA,1,0.003
UNIVERSITY SAINS MALAYSIA USM,1,0.003
UNIVERSITY SECTOR PLANNING OFFICE OPSU OF THE MINISTRY OF THE POPULAR POWER FOR UNIVERSITY EDUCATION IN VENEZUELA,1,0.003
UNIVERSITY TECHNOLOGY MALAYSIA MALAYSIA,1,0.003
UNMC COLLEGE OF PUBLIC HEALTH CENTER FOR REDUCING HEALTH DISPARITIES,1,0.003
UNMC GRADUATE SCHOLARSHIP,1,0.003
UNOS,1,0.003
UOFC INSTITUTE FOR GENOMICS AND SYSTEMS BIOLOGY,1,0.003
UOHI FOUNDATION,1,0.003
UON BRAWN RESEARCH FELLOWSHIP,1,0.003
UON GLADYS M BRAWN CAREER DEVELOPMENT FELLOWSHIP TEACHING ASSISTANCE,1,0.003
UP UNIVERSITY OF PRETORIA,1,0.003
UPFIELDT,1,0.003
UPJOHN,1,0.003
UPPSALA,1,0.003
UPPSALA UNIVERSITY HOSPITAL,1,0.003
UPPSALA UNIVERSITY HOSPITAL ALF,1,0.003
UPPSALA UNIVERSITY HOSPITAL ALF MEDEL,1,0.003
UPR CHA RESEARCH CENTER OF EXCELLENCE MAKING A DIFFERENCE FOR LATINO HEALTH,1,0.003
UPS FOUNDATION,1,0.003
UPSHER SMITH,1,0.003
UQ CENTENNIAL SCHOLARSHIP,1,0.003
UQ MEDICINE RESEARCH GRANT,1,0.003
UQILAS,1,0.003
URAKAMI FOUNDATION FOR FOOD AND FOOD CULTURE PROMOTION,1,0.003
URBAN DIESEL EXPOSURE AND INNER CITY ASTHMA,1,0.003
URBAN HEALTH COLLABORATIVE AT DREXEL UNIVERSITY,1,0.003
URBAN WALKING PROJECT,1,0.003
UROLOGY CARE FOUNDATION,1,0.003
US AGENCY FOR INTERNATIONAL DEVELOPMENT VIA FAMILY HEALTH INTERNATIONAL,1,0.003
US AGENCY FOR INTERNATIONAL DEVELOPMENT VIA INTERNATIONAL CENTER FOR RESEARCH ON WOMEN,1,0.003
US AGENCY FOR INTERNATIONAL DEVELOPMENT VIA MEASURE,1,0.003
US AGENCY FOR INTERNATIONAL DEVELOPMENT VIA WELLSTART INTERNATIONAL,1,0.003
US AIR FORCE OFFICE OF SCIENTIFIC RESEARCH THROUGH A NATIONAL DEFENSE SCIENCE AND ENGINEERING GRADUATE FELLOWSHIP,1,0.003
US AMERICAN PSYCHOLOGICAL ASSOCIATION AND DIVISION 38 OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION,1,0.003
US ARMY MEDICAL RESEARCH ACQUISITION ACTIVITY USAMRAA,1,0.003
US ARMY OFFICE OF THE SURGEON GENERAL AND THE EXECUTION,1,0.003
US ARMY RESEARCH INSTITUTE OF ENVIRONMENTAL MEDICINE,1,0.003
US ARMY RESEARCH LABORATORY ARL,1,0.003
US BRAZIL HIGHER EDUCATION CONSORTIA,1,0.003
US CENSUS BUREAU,1,0.003
US CENTER FOR DISEASE CONTROL,1,0.003
US DEPARTMENT OF AGRICULTURE DUKE UNC BEHAVIORAL ECONOMICS AND CHOICE RESEARCH CENTER NEW PERSPECTIVES FELLOWSHIP,1,0.003
US DEPARTMENT OF AGRICULTURE S AGRICULTURAL RESEARCH SERVICE USDA ARS,1,0.003
US DEPARTMENT OF AGRICULTURE S ECONOMIC RESEARCH SERVICE,1,0.003
US DEPARTMENT OF AGRICULTURE S LOCAL FOOD PROMOTION PROGRAM,1,0.003
US DEPARTMENT OF EDUCATION AND THE CINCINNATI MOUSE METABOLIC PHENOTYPING CENTER,1,0.003
US DEPARTMENT OF ENERGY S OFFICE OF HEALTH PROGRAMS,1,0.003
US DEPARTMENT OF HEALTH AND HUMAN SERVICES CENTERS FOR MEDICARE MEDICAID SERVICES,1,0.003
US DEPARTMENT OF HEALTH AND HUMAN SERVICES HHS,1,0.003
US DEPARTMENT OF HEALTH AND HUMAN SERVICES OFFICE OF MINORITY HEALTH,1,0.003
US DEPARTMENT OF HEALTH AND HUMAN SERVICES OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,1,0.003
US DEPARTMENT OF HHS,1,0.003
US DEPARTMENT OF JUSTICE VIA HARVARD UNIVERSITY,1,0.003
US DEPARTMENT OF VETERANS AFFAIRS OFFICE OF ACADEMIC AFFILIATIONS,1,0.003
US DEPARTMENT OF VETERANS AFFAIRS VISN I MENTAL ILLNESS RESEARCH EDUCATION CLINICAL CARE CENTER MIRECC,1,0.003
US DRY BEAN COUNCIL,1,0.003
US ENVIRONMENTAL PROTECTION AGENCY S OFFICE OF ENVIRONMENTAL JUSTICE UNDER GSA,1,0.003
US ENVIRONMENTAL PROTECTION AGENCY US EPA GRANTS,1,0.003
US EPA SCIENCE TO ACHIEVE RESULTS STAR FELLOWSHIP PROGRAM,1,0.003
US EPA THROUGH OFFICE OF RESEARCH AND DEVELOPMENT,1,0.003
US FOOD AND DRUG ADMINISTRATION US DEPARTMENT OF HEALTH AND HUMAN SERVICES,1,0.003
US HIGHBUSH BLUEBERRY COUNCIL,1,0.003
US IRELAND RD PARTNERSHIP,1,0.003
US MARINE CORPS,1,0.003
US NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,1,0.003
US NATIONAL HEART LUNG AND BLOOD INSTITUTE NATIONAL INSTITUTES OF HEALTH NIH DEPARTMENT OF HEALTH AND HUMAN SERVICES,1,0.003
US NATIONAL HEART LUNG AND BLOOD INSTITUTE NHLBI OF THE NATIONAL INSTITUTES OF HEALTH,1,0.003
US NATIONAL HEART LUNG AND BLOOD INSTITUTE NIH,1,0.003
US NATIONAL INSTITUTE OF AGING GRANT,1,0.003
US NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES OF THE NATIONAL INSTITUTES OF HEALTH NIH,1,0.003
US NATIONAL INSTITUTE OF CHILD HEALTH AND DEVELOPMENT,1,0.003
US NATIONAL INSTITUTE ON AGING NIA OF THE NATIONAL INSTITUTES OF HEALTH,1,0.003
US NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES,1,0.003
US NATIONAL INSTITUTES OF HEALTH FROM NATIONAL HEART LUNG AND BLOOD INSTITUTE NHLBI,1,0.003
US NATIONAL INSTITUTES OF HEALTH NATIONAL CENTER FOR COMPLEMENTARY AND INTEGRATIVE HEALTH,1,0.003
US NATIONAL INSTITUTES OF HEALTH NATIONAL INSTITUTE FOR DIABETES DIGESTIVE AND KIDNEY DISEASES,1,0.003
US NATIONAL INSTITUTES ON AGING,1,0.003
US NAVY BUREAU OF MEDICINE AND SURGERY,1,0.003
US NIA,1,0.003
US PUBLIC HEALTH SERVICE FROM THE NATIONAL HEART LUNG AND BLOOD INSTITUTE,1,0.003
US PUBLIC HEALTH SERVICES NATIONAL INSTITUTES OF HEALTH,1,0.003
USA NATIONAL INSTITUTES OF HEALTH THROUGH NATIONAL HEART LUNG AND BLOOD INSTITUTE,1,0.003
USAMCI,1,0.003
USC DEPARTMENT OF ATHLETICS,1,0.003
USC DIVISION OF BIOKINESIOLOGY AND PHYSICAL THERAPY JACQUELIN PERRY SCHOLARSHIP,1,0.003
USC UCLA BIODEMOGRAPHY CENTER ON POPULATION,1,0.003
USDA AFRI AWARD,1,0.003
USDA AGRICULTURAL MARKETING SERVICE SPECIALTY CROP BLOCK GRANT PROGRAM AS USDA AMS,1,0.003
USDA CONTRACT,1,0.003
USDA ECONOMIC RESEARCH SERVICE ERS,1,0.003
USDA ECONOMIC RESEARCH SERVICE FOOD ASSISTANCE AND NUTRITION RESEARCH PROGRAM,1,0.003
USDA ECONOMIC RESEARCH SERVICE RIDGE PROGRAM,1,0.003
USDA FROM THE NATIONAL INSTITUTE OF FOOD AND AGRICULTURE NIFA,1,0.003
USDA NATIONAL INSTITUTE OF FOOD AND AGRICULTURE NIFA HATCH MULTI STATE PROJECT,1,0.003
USDA NIFA AFRI PROJECT,1,0.003
USDA NIFA HATCH FUNDS UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,1,0.003
USDA UNDER THE NATIONAL RESEARCH INITIATIVE PROGRAM,1,0.003
USEPA GRANT,1,0.003
USF INTERNAL AWARD,1,0.003
USGS GREATER EVERGLADES PRIORITY ECOSYSTEMS STUDIES PROGRAM,1,0.003
USHIO INC,1,0.003
USM GLOBAL FELLOWSHIP,1,0.003
UST UCSD INTERNATIONAL CENTRE OF EXCELLENCE IN ADVANCED BIO ENGINEERING,1,0.003
UT COMPETITIVE SUMMER RESEARCH AWARD,1,0.003
UT MD ANDERSON CANCER CENTER BRAIN SPORE,1,0.003
UT MD ANDERSON CANCER CENTER SPORE IN MELANOMA GRANT FROM NCI,1,0.003
UT SOUTHWESTERN CENTER FOR PATIENT CENTERED OUTCOMES RESEARCH,1,0.003
UT SOUTHWESTERN CENTER FOR TRANSLATIONAL MEDICINE,1,0.003
UT SOUTHWESTERN O BRIEN KIDNEY RESEARCH CENTER DALLAS TX,1,0.003
UT STAR,1,0.003
UTAH AGRICULTURAL EXPERIMENT STATION GRANT,1,0.003
UTAH CANCER REGISTRY FROM THE NATIONAL CANCER INSTITUTE,1,0.003
UTAH STATE UNIVERSITY,1,0.003
UTE,1,0.003
UTHEALTH CENTER FOR CLINICAL AND TRANSLATIONAL SCIENCES CCTS,1,0.003
UTHEALTH CENTER FOR NURSING RESEARCH,1,0.003
UTHEALTH CONSORTIUM ON AGING THE UNIVERSITY OF TEXAS HOUSTON RETIREE ORGANIZATION UTHRO,1,0.003
UTHEALTH SCHOOL OF PUBLIC HEALTH CANCER EDUCATION AND CAREER DEVELOPMENT PROGRAM THROUGH A NATIONAL CANCER INSTITUTE NIH GRANT,1,0.003
UTM RD FUND,1,0.003
UTMB DEPARTMENT OF OBSTETRICS AND GYNECOLOGY AND MATERNAL CHILD HEALTH REGIONAL PROGRAM,1,0.003
UW CENTER OF EXCELLENCE IN COMPARATIVE EFFECTIVENESS RESEARCH,1,0.003
UW HELFAER ENDOWED CHAIR,1,0.003
UW NIEHS,1,0.003
UW SPORTS MEDICINE CLASSIC,1,0.003
UW WISCONSIN PARTNERSHIP MADISON WI,1,0.003
UWINSTITUTE FOR CLINICAL AND TRANSLATIONAL RESEARCH MADISON WI,1,0.003
VA ADVANCED GERIATRICS FELLOWSHIP,1,0.003
VA AWARD,1,0.003
VA BLRD MERIT AWARD,1,0.003
VA CAREER DEVELOPMENT AWARD,1,0.003
VA CLINICAL SCIENCE RESEARCH AND DEVELOPMENT CSR D CAREER DEVELOPMENT AWARD,1,0.003
VA CLINICAL SCIENCE RESEARCH AND DEVELOPMENT CSR D CAREER DEVELOPMENT AWARD 2,1,0.003
VA CLINICAL SCIENCE RESEARCH DEVELOPMENT,1,0.003
VA COOPERATIVE STUDIES PROGRAM EPIDEMIOLOGICAL RESEARCH CENTERS,1,0.003
VA CSR D CAREER DEVELOPMENT AWARD,1,0.003
VA CSR D GRANT ENTITLED SEROTONIN AND DOPAMINE TRANSPORTER GENETICS A FACTOR IN PTSD RISK,1,0.003
VA CSRD,1,0.003
VA HEALTH SERVICE RESEARCH AND DEVELOPMENT,1,0.003
VA HEALTH SERVICES RESEARCH AND DEVELOPMENT HSR D CAREER DEVELOPMENT AWARD,1,0.003
VA HEALTH SERVICES RESEARCH AND DEVELOPMENT SERVICE W CW,1,0.003
VA HOSPITAL,1,0.003
VA HSR D CAREER DEVELOPMENT AWARD,1,0.003
VA HSR D QUERI CAREER DEVELOPMENT AWARD,1,0.003
VA HSR D SENIOR RESEARCH CAREER SCIENTIST AWARDS,1,0.003
VA HSRD AWARDS,1,0.003
VA MID ATLANTIC HEALTHCARE NETWORK VISN 6 THE DURHAM,1,0.003
VA NATIONAL QUALITY SCHOLARS PROGRAM WITH RESOURCES AND USE OF FACILITIES AT TENNESSEE VALLEY HEALTHCARE SYSTEM NASHVILLE TN,1,0.003
VA NORMATIVE AGING STUDY A COMPONENT OF THE MASSACHUSETTS VETERANS EPIDEMIOLOGY RESEARCH AND INFORMATION CENTER BOSTON MASSACHUSETTS,1,0.003
VA OFFICE OF ACADEMIC AFFAIRS,1,0.003
VA OFFICE OF ACADEMIC AFFILIATION THROUGH THE HEALTH SERVICES RESEARCH FELLOWSHIP,1,0.003
VA OFFICE OF RESEARCH AND DEVELOPMENT,1,0.003
VA OFFICE OF RESEARCH AND DEVELOPMENT ORD RESEARCH CAREER DEVELOPMENT AWARD,1,0.003
VA ORD OFFICE OF RURAL HEALTH,1,0.003
VA PITTSBURGH HEALTHCARE SYSTEM,1,0.003
VA PUBLIC HEALTH STRATEGIC HEALTHCARE GROUP,1,0.003
VA PUGET SOUND HEALTH CARE SYSTEM MEDICAL RESEARCH SERVICE DEPARTMENT OF VETERANS AFFAIRS,1,0.003
VA PUGET SOUND HEALTH CARE SYSTEM SEATTLE WASHINGTON INCLUDING THE VETERAN AFFAIRS EPIDEMIOLOGY RESEARCH AND INFORMATION CENTER,1,0.003
VA RD,1,0.003
VA REHABILITATION CAREER DEVELOPMENT AWARD,1,0.003
VA RRD,1,0.003
VA S NORTHWEST CENTER OF EXCELLENCE FOR HEALTH SERVICES RESEARCH DEVELOPMENT,1,0.003
VA SUBSTANCE USE DISORDERS QUALITY ENHANCEMENT RESEARCH INITIATIVE SUD QUERI,1,0.003
VA VISN 7,1,0.003
VAGELOS GRANT,1,0.003
VAHSRD,1,0.003
VALAT JONES FOUNDATION,1,0.003
VALEANT PHARMACEUTICALS BRIDGEWATER NEW JERSEY,1,0.003
VALENCIA GOVERNMENT,1,0.003
VALIO RESEARCH CENTRE,1,0.003
VALTECH,1,0.003
VANCOUVER COASTAL HEALTH RESEARCH INSTITUTE,1,0.003
VANDA PHARMACEUTICALS,1,0.003
VANDERBILT,1,0.003
VANDERBILT CENTER FOR DIABETES TRANSLATION RESEARCH NIDDK NIH,1,0.003
VANDERBILT CENTER FOR DIABETES TRANSLATIONAL RESEARCH NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,1,0.003
VANDERBILT CLINICAL AND TRANSLATIONAL RESEARCH SCHOLAR AWARD FROM THE NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,1,0.003
VANDERBILT CLINICAL AND TRANSLATIONAL RESEARCH SCHOLARS PROGRAM,1,0.003
VANDERBILT CLINICAL AND TRANSLATIONAL SCHOLARS AWARD,1,0.003
VANDERBILT CLINICAL AND TRANSLATIONAL SCIENCE AWARDS FROM NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES NATIONAL INSTITUTE OF HEALTH,1,0.003
VANDERBILT CLINICAL RESEARCH CENTER NATIONAL CENTER FOR RESEARCH RESOURCES NATIONAL INSTITUTES OF HEALTH,1,0.003
VANDERBILT CTSA AWARD FROM THE NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,1,0.003
VANDERBILT DIGESTIVE DISEASE RESEARCH CENTER,1,0.003
VANDERBILT FACULTY RESEARCH SCHOLARS FUND,1,0.003
VANDERBILT FACULTY RESEARCH SCHOLARS PROGRAM,1,0.003
VANDERBILT IDEAS GRANT,1,0.003
VANDERBILT INSTITUTE FOR CLINICAL AND TRANSLATIONAL RESEARCH,1,0.003
VANDERBILT INSTITUTE FOR CLINICAL AND TRANSLATIONAL RESEARCH VICTR TRAINING GRANT,1,0.003
VANDERBILT MEHARRY CENTER FOR AIDS RESEARCH,1,0.003
VANDERBILT MEHARRY CENTER FOR AIDS RESEARCH GRANT,1,0.003
VANDERBILT MEMORY ALZHEIMER S CENTER,1,0.003
VANDERBILT MOLECULAR AND GENETIC EPIDEMIOLOGY OF CANCER MAGEC TRAINING PROGRAM,1,0.003
VANDERBILT MOUSE METABOLIC PHENOTYPING CENTER,1,0.003
VANDERBILT MULTIDISCIPLINARY CLINICAL RESEARCH CENTER,1,0.003
VANDERBILT PHYSICIAN SCIENTIST DEVELOPMENT VPSD,1,0.003
VANDERBILT RESEARCH TRAINING IN DIABETES AND ENDOCRINOLOGY GRANT,1,0.003
VANDERBILT SCHOOL OF MEDICINE,1,0.003
VANDERBILT UNIVERSITY CENTER FOR HUMAN GENETICS RESEARCH,1,0.003
VANDERBILT UNIVERSITY MEDICAL CENTER FACULTY RESEARCH SCHOLARS PROGRAM,1,0.003
VANDERBILT UNIVERSITY MEDICAL CENTER S BIOVU,1,0.003
VANDERBILT UNIVERSITY SCHOOL OF MEDICINE EMPHASIS PROGRAM,1,0.003
VANIER CANADA GRADUATE SCHOLARSHIP,1,0.003
VARBEDIAN AORTIC RESEARCH FUND,1,0.003
VARDAL FOUNDATION FOR HEALTH CARE SCIENCE AND ALLERGY RESEARCH,1,0.003
VARSINAIS SUOMI REGIONAL FUND SCHOLARSHIP,1,0.003
VASCULAR DYNAMICS,1,0.003
